Spp,commonName,scientificName
3964,Red- (Crimson-) winged Pytilia,Pytilia phoenicoptera
3662,Purple-breasted Sunbird,Nectarinia purpureiventris
2078,Red-thighed Sparrowhawk,Accipiter erythropus
2052,Mew  Gull,Larus canus
3552,Friedmann's Lark,Mirafra pulpa
1626,Black-throated Coucal,Centropus leucogaster
4088,West African Seedeater,Crithagra canicapilla
2564,White-bellied Robin-Chat,Cossyphicula roberti
2074,Levant Sparrowhawk,Accipiter brevipes
2076,Chestnut-flanked Sparrowhawk,Accipiter castanilius
3696,Tawny Pipit,Anthus campestris
3006,Baumann's Olive Greenbul,Phyllastrephus baumanni
3682,Blue-throated Brown Sunbird,Cyanomitra cyanolaema
1344,Quail-plover,Ortyxelos meiffrenii
1216,Ahanta  Spurfowl,Pternistis ahantensis
417,Stierling's Woodpecker,Dendropicos stierlingi
1044,Red-whiskered Bulbul,Pycnonotus jocosus
1047,Red  Fody,Foudia madagascariensis
1074,Seychelles Turtle-dove,Nesoenas picturata
1278,Meller's Duck,Anas melleri
2122,Madagascar Marsh-harrier,Circus maillardi
1045,Mascarene Paradise Flycatcher,Terpsiphone bourbonnensis
1682,Mascarene Swiftlet,Aerodramus francicus
2352,Reunion  Cuckooshrike,Lalage newtoni
2706,Reunion Stonechat,Saxicola tectes
2986,Reunion  Bulbul,Hypsipetes borbonicus
3212,Reunion Olive White-eye,Zosterops olivaceus
3502,Black-crowned Sparrow-Lark,Eremopterix nigriceps
1173,Zebra Dove,Geopelia striata
2242,Mascarene Petrel,Pseudobulweria aterrima
3998,Jambandu  Indigobird,Vidua raricola
1502,Western Red-billed Hornbill,Tockus kempi
1496,Black Dwarf Hornbill,Horizocerus hartlaubi
1838,Standard-winged Nightjar,Caprimulgus longipennis
3194,Cricket Warbler,Spiloptila clamans
3394,Eastern Subalpine Warbler,Curruca cantillans
1192,Rufous-vented Paradise Flycatcher,Terpsiphone rufocinerea
3148,Black-lored Cisticola,Cisticola nigriloris
3220,Pemba White-eye,Zosterops vaughani
3670,Little Green Sunbird,Anthreptes seimundi
2638,Chapin's Flycatcher,Muscicapa lendu
3012,Toro Olive Greenbul,Phyllastrephus hypochloris
2866,Stripe-breasted Tit,Melaniparus fasciiventer
2144,Hawk-Eagle Cassin's,Aquila africana
2674,Western Black-eared Wheatear,Oenanthe hispanica
2804,Chestnut-winged Starling,Onychognathus fulgidus
3958,Black-bellied Seedcracker,Pyrenestes ostrinus
